_id,,x_mean,x_std,x_max,x_min,x_energy,x_iqr,y_mean,y_std,y_max,y_min,y_energy,y_iqr,z_mean,z_std,z_max,z_min,z_energy,z_iqr,sma,xy_corr,xz_corr,yz_corr
1,1124,13434.4,603.9648126749667,16964.0,11588.0,180844229.12,286.0,-1239.48,517.2210609193992,324.0,-3592.0,1801153.12,357.0,-9474.16,762.4113622268151,-4540.0,-11352.0,90335166.08,411.0,16520.226032671726,-0.48237125717624846,0.9184216376080224,-0.4357439116430583
1,1149,13516.68,584.869991251631,16964.0,11588.0,183039290.4,348.0,-1196.16,504.10610395075247,324.0,-3592.0,1682380.48,366.0,-9365.0,734.6899572835844,-4540.0,-11352.0,88237596.64,413.0,16519.548297795256,-0.572054882372016,0.9097962715833667,-0.5343489570464419
1,1174,13560.64,580.9144223210712,16964.0,11588.0,184225044.16,393.0,-1102.6,505.885642045992,324.0,-3592.0,1469087.84,522.0,-9300.56,724.6848750186728,-4540.0,-11352.0,87020332.8,406.0,16512.230530820096,-0.5661381375172254,0.9172463224595732,-0.5389865969100692
1,1199,13500.36,469.39327957386257,15656.0,12220.0,182477846.88,428.0,-977.56,888.2465569078154,3244.0,-2424.0,1736715.68,524.0,-9377.56,608.9543002541329,-6700.0,-10820.0,88305748.64,579.0,16505.706820496256,-0.28966052547259724,0.6864098691171581,-0.3846182277564565
1,1224,13276.6,452.3487972167511,13932.0,11800.0,176470680.8,705.0,-220.28,1657.072044055998,3960.0,-2424.0,2766952.16,2345.0,-9659.72,645.9404244349539,-8152.0,-11696.0,93723257.12,823.0,16517.453212451386,-0.6456653277684453,0.5130060384136591,-0.6668816785028683
1,1249,13292.44,465.7236862338005,14008.0,11800.0,176903690.72,717.0,95.04,1544.67249917158,3960.0,-2424.0,2371185.6,2052.0,-9628.4,661.0482034411291,-8152.0,-11696.0,93138701.44,832.0,16500.890849079016,-0.5452431847587097,0.5441080343287856,-0.6078999675367547
1,1274,13133.52,474.8003829362033,14008.0,11800.0,172712528.64,783.0,-131.0,1901.9054241534325,3960.0,-3880.0,3598232.8,2577.0,-9771.84,648.6000264750596,-8152.0,-11696.0,95905332.16,796.0,16494.378261274283,-0.07433319806434177,0.4460307903953399,-0.3374965359689023
1,1299,13220.48,504.84081859653315,14300.0,11800.0,175033407.04,783.0,353.44,1855.0992694176623,3960.0,-3880.0,3531899.2,1885.0,-9689.32,614.5679418514524,-8764.0,-11696.0,94256838.88,805.0,16512.915250220096,0.04206557445882171,0.5309701419429785,-0.11857623162964752
1,1324,13335.64,480.9082635802891,14300.0,12196.0,178068254.24,743.0,-142.36,1612.9031327254474,1904.0,-3880.0,2595708.32,2242.0,-9552.2,522.4716318237981,-8764.0,-10948.0,91514771.68,666.0,16495.258428838177,0.6096728430059791,0.650808216986305,0.5482926904447173
1,1349,13269.0,509.6500284657696,14916.0,12196.0,176323506.72,750.0,-302.8,1641.3414075571304,1904.0,-3880.0,2758749.44,2805.0,-9661.92,541.67163037354,-8560.0,-10948.0,93643172.16,778.0,16511.596716179698,0.49456493578959543,0.6594923597451158,0.45288223266368527
1,1374,13408.08,467.3062214934426,14916.0,12252.0,179992800.64,677.0,160.68,1181.2854569955125,1904.0,-3488.0,1407299.04,2164.0,-9563.28,512.1219488608813,-8560.0,-10828.0,91715970.56,768.0,16523.71869945115,0.2865145897342189,0.7038915580010245,0.46692835626777274
1,1399,13471.8,563.8231329526498,15096.0,11472.0,181804112.8,681.0,49.28,996.7729555161951,1924.0,-1868.0,986049.28,1592.0,-9561.88,767.1656779169375,-8540.0,-12736.0,92012206.88,873.0,16573.079216111826,0.5448636665585271,0.6972137123718537,0.48630172618813733
1,1424,13390.64,1034.2881563196227,17584.0,10796.0,180368294.08,793.0,128.16,1253.3531810162858,3552.0,-1744.0,1571610.24,1692.0,-9633.52,876.1682934139156,-8316.0,-12736.0,93564701.76,897.0,16578.22903505487,0.19231346082900164,0.2988755233829304,0.2674152981673886
1,1449,13261.08,1216.4844668888406,17584.0,9788.0,177321278.88,1347.0,411.04,1543.1861695658763,3552.0,-3088.0,2526563.2,2468.0,-9803.16,1098.4580995029564,-8244.0,-12736.0,97296490.08,1642.0,16612.67151234312,0.28955313988697495,0.13470875680589603,0.24055812085067532
1,1474,12682.84,1542.0281850979106,17584.0,9788.0,163208502.88,2383.0,-114.4,2220.463287722006,3552.0,-5076.0,4894240.0,3416.0,-10337.0,1307.3537309304543,-8244.0,-12736.0,108545651.04,2516.0,16594.9719600233,0.599338084341995,0.36877239264973993,0.4435921313600669
1,1499,11980.64,1505.911928957917,17584.0,9788.0,145780827.84,1815.0,-783.2,2224.2251902560815,3552.0,-5076.0,5511108.16,3631.0,-11044.32,1252.4381948500209,-8244.0,-12852.0,123529919.68,1743.0,16542.340757737064,0.6140468548193859,0.3798534620234027,0.4655452482609022
1,1524,11203.44,1386.5336789376006,14868.0,8748.0,127420318.72,1798.0,-1393.08,1953.0133861457914,3440.0,-5076.0,5716790.56,1288.0,-11792.64,1228.116102825856,-8244.0,-13904.0,140559544.64,1232.0,16524.523904230082,0.7165709733451051,0.5900415386235839,0.44248121350137126
1,1549,9768.52,2275.7481996659308,13204.0,932.0,100551222.56,1788.0,-2211.92,1321.7160537985037,3440.0,-5076.0,6622054.08,1031.0,-12747.52,1313.1692597096564,-10280.0,-18556.0,164206435.52,1461.0,16465.63739050734,0.371375766980829,0.8946599842380035,0.17001906131775976
