data_id,_id,x,y,z
340,1,13304.0,-428.0,-9656.0
341,1,13552.0,-476.0,-9600.0
342,1,13672.0,-500.0,-9488.0
343,1,13472.0,-428.0,-9544.0
344,1,13556.0,-508.0,-9592.0
345,1,13536.0,-436.0,-9400.0
346,1,13448.0,-416.0,-9468.0
347,1,13480.0,-428.0,-9584.0
348,1,13756.0,-476.0,-9400.0
349,1,13656.0,-444.0,-9420.0
350,1,13708.0,-452.0,-9496.0
351,1,13764.0,-396.0,-9344.0
352,1,13700.0,-400.0,-9272.0
353,1,13644.0,-312.0,-9244.0
354,1,13832.0,-388.0,-9392.0
355,1,13680.0,-524.0,-9312.0
356,1,13572.0,-500.0,-9340.0
357,1,13736.0,-352.0,-9316.0
358,1,13756.0,-452.0,-9392.0
359,1,13608.0,-520.0,-9564.0
360,1,13664.0,-440.0,-9492.0
361,1,13568.0,-524.0,-9524.0
362,1,13656.0,-464.0,-9472.0
363,1,13668.0,-332.0,-9496.0
364,1,13648.0,-424.0,-9340.0
365,1,13480.0,-368.0,-9488.0
366,1,13680.0,-448.0,-9484.0
367,1,13588.0,-372.0,-9564.0
368,1,13508.0,-284.0,-9492.0
369,1,13608.0,-420.0,-9352.0
370,1,13712.0,-480.0,-9404.0
371,1,13660.0,-580.0,-9428.0
372,1,13628.0,-584.0,-9380.0
373,1,13604.0,-488.0,-9388.0
374,1,13640.0,-468.0,-9344.0
375,1,13640.0,-548.0,-9564.0
376,1,13608.0,-368.0,-9404.0
377,1,13408.0,-588.0,-9552.0
378,1,13816.0,-616.0,-9356.0
379,1,13816.0,-540.0,-9452.0
380,1,13564.0,-448.0,-9440.0
381,1,13548.0,-516.0,-9556.0
382,1,13688.0,-524.0,-9468.0
383,1,13600.0,-432.0,-9464.0
384,1,13500.0,-364.0,-9576.0
385,1,13528.0,-404.0,-9620.0
386,1,13528.0,-448.0,-9668.0
387,1,13552.0,-516.0,-9424.0
388,1,13556.0,-512.0,-9340.0
389,1,13576.0,-556.0,-9356.0
390,1,13732.0,-464.0,-9288.0
391,1,13744.0,-532.0,-9356.0
392,1,13644.0,-432.0,-9412.0
393,1,13620.0,-440.0,-9372.0
394,1,13540.0,-432.0,-9496.0
395,1,13652.0,-424.0,-9496.0
396,1,13716.0,-548.0,-9392.0
397,1,13756.0,-628.0,-9208.0
398,1,13664.0,-588.0,-9108.0
399,1,13692.0,-616.0,-9232.0
400,1,13808.0,-444.0,-9264.0
401,1,13872.0,-376.0,-9308.0
402,1,13668.0,-424.0,-9300.0
403,1,13608.0,-488.0,-9356.0
404,1,13648.0,-452.0,-9296.0
405,1,13676.0,-492.0,-9440.0
406,1,13704.0,-516.0,-9396.0
407,1,13680.0,-564.0,-9348.0
408,1,13724.0,-548.0,-9444.0
409,1,13592.0,-484.0,-9392.0
410,1,13668.0,-472.0,-9212.0
411,1,13836.0,-584.0,-9280.0
412,1,13804.0,-508.0,-9216.0
413,1,13780.0,-360.0,-9188.0
414,1,13840.0,-340.0,-9176.0
415,1,13756.0,-292.0,-9144.0
416,1,13824.0,-360.0,-9084.0
417,1,14072.0,-336.0,-9144.0
418,1,13772.0,-388.0,-9324.0
419,1,13636.0,-360.0,-9284.0
420,1,13644.0,-320.0,-9344.0
421,1,13700.0,-392.0,-9252.0
422,1,13692.0,-492.0,-9268.0
423,1,13688.0,-516.0,-9440.0
424,1,13660.0,-532.0,-9384.0
425,1,13704.0,-388.0,-9308.0
426,1,13732.0,-404.0,-9300.0
427,1,13852.0,-340.0,-9244.0
428,1,13740.0,-240.0,-9268.0
429,1,13644.0,-316.0,-9292.0
430,1,13776.0,-384.0,-9352.0
431,1,13608.0,-512.0,-9560.0
432,1,13604.0,-612.0,-9540.0
433,1,13828.0,-476.0,-9292.0
434,1,13712.0,-412.0,-9456.0
435,1,13548.0,-476.0,-9420.0
436,1,13620.0,-528.0,-9472.0
437,1,13656.0,-544.0,-9440.0
438,1,13572.0,-520.0,-9412.0
439,1,13604.0,-436.0,-9532.0
440,1,13544.0,-516.0,-9356.0
441,1,13596.0,-464.0,-9452.0
442,1,13584.0,-500.0,-9460.0
443,1,13624.0,-504.0,-9464.0
444,1,13604.0,-524.0,-9508.0
445,1,13504.0,-716.0,-9404.0
446,1,13588.0,-680.0,-9332.0
447,1,13740.0,-652.0,-9344.0
448,1,13636.0,-540.0,-9360.0
449,1,13436.0,-624.0,-9400.0
450,1,13568.0,-404.0,-9260.0
451,1,13748.0,-556.0,-9520.0
452,1,13488.0,-340.0,-9748.0
453,1,13552.0,-384.0,-9780.0
454,1,13508.0,-440.0,-9580.0
455,1,13540.0,-572.0,-9540.0
456,1,13620.0,-588.0,-9424.0
