_id,,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_max,y_max,z_max,x_min,y_min,z_min,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,sma
2,2388,10443.84,1083.4933333333333,-12739.466666666667,419.2597616434629,498.94294592557264,389.4010899944798,11384.0,1968.0,-11696.0,9708.0,-556.0,-13368.0,109249572.69333333,1422901.8666666667,162445644.16,545.0,379.0,422.0,0.6647205194187976,0.9687842928877056,0.6698782353317533,16526.13351177621
2,2426,10575.786666666667,1044.3733333333332,-12629.466666666667,453.03239893951167,522.5458390950554,428.4014109324208,11780.0,1968.0,-11520.0,9708.0,-556.0,-13368.0,112052501.97333333,1363769.8133333332,159686956.05333334,665.0,583.0,576.0,0.4431444819543655,0.9662058878189241,0.4403245906844069,16525.626794297426
2,2464,10805.68,1189.3866666666668,-12420.64,490.3646033990084,390.6338061265165,455.5160191841043,11924.0,1968.0,-11436.0,10036.0,116.0,-13260.0,117003177.70666666,1567235.4133333333,154479792.85333332,917.0,608.0,843.0,-0.11858043092315106,0.9514319048116828,-0.05735668411650371,16523.91089829082
2,2502,10592.666666666666,1101.44,-12606.48,517.684571486881,321.1639763941986,459.5688808727878,11924.0,1928.0,-11436.0,9676.0,116.0,-13500.0,112472584.42666666,1316316.3733333333,159134541.54666665,775.0,366.0,667.0,-0.4767579710329027,0.9503691010336416,-0.42339696495982465,16520.052550835255
2,2540,10756.293333333333,1389.3333333333333,-12431.2,532.6035867530582,651.0836368871684,491.70245745437006,11924.0,2752.0,-11436.0,9676.0,116.0,-13500.0,115981512.85333334,2354157.013333333,154776504.74666667,868.0,801.0,856.0,0.07687453405794911,0.9495926321824173,0.18897299764131117,16525.755267352353
2,2578,10785.44,1705.2266666666667,-12360.08,614.3108060257446,672.2880250474659,573.3616371308193,11924.0,2752.0,-11436.0,9608.0,332.0,-13500.0,116703093.76,3359769.1733333333,153100321.17333335,1112.0,1259.0,998.0,0.3820990230071021,0.9640713187865562,0.48822314245517207,16527.347204587095
2,2616,10407.786666666667,1873.8933333333334,-12650.106666666667,750.7150421357553,581.2260506511693,663.278434713172,11656.0,2916.0,-11440.0,8728.0,652.0,-13720.0,108885596.37333333,3849299.946666667,160465136.96,1326.0,1119.0,1217.0,0.6022178986472827,0.9775582150912595,0.6893999073088758,16528.570166855832
2,2654,10246.906666666666,2101.1466666666665,-12746.0,841.6813517926814,432.5071927982495,719.2438622145713,11656.0,2916.0,-11440.0,8728.0,840.0,-13720.0,105707523.73333333,4601879.786666667,162977827.73333332,1585.0,664.0,1312.0,0.5677376817661453,0.9826829083861235,0.6275020941436825,16531.190333960683
2,2692,9870.16,2018.2133333333334,-13057.44,702.4833101694777,377.28844114579266,605.1625509453362,11656.0,2916.0,-11440.0,8728.0,840.0,-13720.0,97913541.22666667,4215531.626666667,170862961.06666666,380.0,385.0,289.0,0.4385326401929195,0.9765779354811606,0.5053295594088981,16522.25184913986
2,2730,9602.053333333333,2062.826666666667,-13277.066666666668,270.76296612022514,333.85938650209533,191.23607284075763,10276.0,2916.0,-12856.0,8728.0,840.0,-13744.0,92272740.8,4366715.946666666,176317070.50666666,334.0,330.0,241.0,0.12971389906168102,0.7535883241478567,0.2720418906261867,16521.04279131638
3,2917,12337.76,18.106666666666666,-10957.733333333334,231.3533424583848,320.2924319361223,222.77302848913783,12844.0,960.0,-10444.0,11556.0,-792.0,-11572.0,152273846.18666667,102915.09333333334,120121547.62666667,315.0,419.0,315.0,-0.17441306348384347,0.6885033589121635,-0.2323334376666527,16507.02389176589
3,2955,12415.146666666667,-8.533333333333333,-10870.773333333333,279.54347036234316,357.0135882879281,286.8766784216211,13052.0,960.0,-10208.0,11556.0,-892.0,-11572.0,154214011.30666667,127531.52,118256011.09333333,359.0,431.0,393.0,-0.41083352652754895,0.7992964391434617,-0.4762162609375396,16510.035865358004
3,2993,12522.773333333333,36.32,-10741.413333333334,320.49826097638794,353.40734419835337,343.7500290747463,13248.0,960.0,-9888.0,11556.0,-892.0,-11572.0,156922571.09333333,126215.89333333333,115496124.48,464.0,425.0,484.0,-0.3391011588293775,0.891973242216159,-0.39335291642634623,16508.565896066342
3,3031,12601.813333333334,4.1066666666666665,-10653.52,335.7302366815092,377.8434093054364,368.0048318523368,13288.0,1264.0,-9880.0,11548.0,-892.0,-11716.0,158918414.08,142782.50666666665,113632915.94666667,413.0,446.0,480.0,-0.29150428818940255,0.8835098960638705,-0.36714250468735826,16513.00844084172
3,3069,12532.4,-111.22666666666667,-10702.773333333333,414.8254572708863,487.57001749036573,403.1222006069899,13288.0,1264.0,-9880.0,11492.0,-1584.0,-11824.0,157233129.92,250095.89333333334,114711864.53333333,607.0,570.0,538.0,0.09449869287721516,0.7185841249684919,-0.03222619692649381,16496.879297427993
3,3107,12414.426666666666,-109.54666666666667,-10846.453333333333,456.4766857378614,612.9016080543072,457.49690835628104,13404.0,1924.0,-9880.0,11480.0,-2632.0,-11824.0,154326360.42666668,387648.85333333333,117854853.33333333,752.0,653.0,667.0,0.15827070537978757,0.7319924143919235,0.12884135540952635,16507.86049095551
3,3145,12310.826666666666,-117.94666666666667,-10867.573333333334,463.9833437623478,2119.2745292880036,481.7769656409721,14024.0,4600.0,-9580.0,11152.0,-5000.0,-11824.0,151771733.76,4505235.946666666,118336259.2,613.0,1023.0,693.0,0.0017026158342364514,0.4150186322628331,0.12753631664685536,16567.85826504673
3,3183,12380.906666666666,61.76,-10738.88,518.9170562709313,2498.1347913460017,544.9897114625192,14024.0,4640.0,-9568.0,10760.0,-5000.0,-11824.0,153556124.8,6244491.733333333,115620557.44,771.0,2612.0,897.0,0.062112504964501894,0.4543371982209153,0.1784015213383135,16591.607944308504
3,3221,12544.773333333333,254.4,-10575.44,520.5543090036066,2649.4150901661287,531.1809293765481,14024.0,4640.0,-9568.0,10760.0,-5000.0,-11760.0,157642314.77333334,7084119.68,112122084.37333333,671.0,3980.0,896.0,0.08874711406034072,0.5153403329162237,0.15783920038906826,16635.225439739173
3,3259,12662.746666666666,331.52,-10428.8,473.3012879293225,2616.5342133440568,430.84908417372,14024.0,4640.0,-9568.0,10760.0,-5000.0,-11480.0,160569167.25333333,6956156.8,108945500.37333333,537.0,4041.0,702.0,0.06208131905874011,0.3851735054862296,0.12566459738091343,16624.011830007494
3,3297,12859.866666666667,224.58666666666667,-10292.08,375.1716881050002,1748.8683967513266,408.1697607613774,13696.0,4640.0,-9460.0,11876.0,-2872.0,-11148.0,165516924.48,3108979.84,106093513.28,517.0,2404.0,644.0,-0.08506436702547848,0.6708955010319797,-0.13747211364693326,16572.952423663693
3,3335,13007.013333333334,-145.06666666666666,-10149.813333333334,426.7670556898953,1235.4386355550898,468.58051441442694,13876.0,3064.0,-9224.0,11976.0,-2496.0,-11108.0,169364525.97333333,1547352.96,103238278.4,668.0,1917.0,759.0,0.060335246766273616,0.7782702023198187,-0.09121852154138241,16555.974680356176
3,3373,13242.0,-338.50666666666666,-9827.84,503.5485279493924,827.6592595721717,590.4400853600645,15236.0,1496.0,-7872.0,11976.0,-1884.0,-11080.0,175604125.12,799606.6133333333,96935058.56,600.0,1285.0,753.0,-0.041407028759218235,0.7618892431501639,-0.1263927191360173,16530.76479582536
3,3411,13599.946666666667,-274.58666666666664,-9351.226666666667,489.33194986180445,791.8494317033313,597.6911481879436,15236.0,1496.0,-7872.0,12188.0,-1792.0,-10480.0,185197995.09333333,702423.36,87802674.88,734.0,1101.0,905.0,0.1387240119257303,0.7197239526636486,0.10121217685229349,16541.496462792446
3,3449,13860.186666666666,-143.97333333333333,-8936.586666666666,476.9501635274791,767.4076182982693,647.5193915929383,15236.0,1448.0,-7208.0,12188.0,-1628.0,-10180.0,192332255.89333335,609642.7733333333,80281862.61333333,637.0,1137.0,960.0,-0.030994428603390866,0.707832891753253,-0.100015347363296,16526.935245390778
3,3487,14092.08,-148.05333333333334,-8566.64,373.1401795572276,778.6151106219869,519.7492379984794,15236.0,1448.0,-7208.0,13180.0,-1700.0,-9992.0,198725952.32,628161.28,73657460.16,437.0,1059.0,579.0,-0.1198971287082767,0.6248321143574886,-0.16765209017031737,16521.0239740004
6,3674,12582.533333333333,1523.3866666666668,-10274.16,2768.021788610454,3038.529670277314,2990.9125164515713,25876.0,12488.0,-5840.0,6396.0,-5016.0,-18132.0,165982089.70666668,11553369.493333334,114503921.38666667,3198.0,3327.0,3436.0,0.05152745180112651,-0.33085223127912416,-0.14261174815545546,16732.709624961764
6,3712,12454.293333333333,1129.36,-10765.013333333334,3512.144365952073,3223.213330989226,3440.970101558894,29072.0,12488.0,-5840.0,6396.0,-5844.0,-19288.0,167444580.48,11664558.186666667,127725787.30666667,3034.0,3410.0,6007.0,0.07877250740843741,-0.5065947802891702,-0.04393072126977447,16932.845889002976
6,3750,12624.213333333333,339.25333333333333,-10940.053333333333,3742.1245954433725,2803.070902151583,3779.445969603952,29072.0,10968.0,-5840.0,6808.0,-5844.0,-21284.0,173374258.77333334,7972299.306666667,133968978.77333333,3608.0,3577.0,6913.0,0.13284846513586762,-0.5336175153644046,0.00984640410226,17082.452113788284
7,3937,15282.56,-2000.0533333333333,-5846.72,292.45855501250077,190.6312246779687,245.60925932600077,16424.0,-1588.0,-5008.0,12984.0,-3500.0,-7132.0,233642172.16,4036553.6,34244458.666666664,103.0,98.0,140.0,0.2886478286673102,0.7119992551205196,0.20631207053998837,16488.80384946596
7,3975,15299.626666666667,-1946.1866666666667,-5851.466666666666,62.37665660236117,75.27030283510814,97.19112899619776,15484.0,-1756.0,-5312.0,15072.0,-2120.0,-6104.0,234082466.98666668,3793308.16,34249108.266666666,91.0,100.0,112.0,-0.07903038881046207,0.5897342795408895,-0.20442241374978437,16496.141032626896
7,4013,15286.133333333333,-1910.3733333333332,-5889.493333333333,62.69276052481833,76.28731189100553,106.57684217919432,15484.0,-1632.0,-5312.0,15072.0,-2120.0,-6148.0,233669802.66666666,3655346.026666667,34697490.346666664,96.0,100.0,142.0,0.03270628477866865,0.5664094116854257,-0.2061479112198473,16493.04134512188
7,4051,15277.44,-1897.92,-5919.253333333333,64.240016604398,77.77810488820104,108.31596906991858,15484.0,-1632.0,-5312.0,15072.0,-2120.0,-6244.0,233404299.73333332,3608149.76,35049292.373333335,95.0,96.0,136.0,-0.031597368283537236,0.5660439495377768,-0.23954654370371298,16494.222008281693
