_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,x_mean_pos1,x_std_pos1,x_max_pos1,x_min_pos1,y_mean_pos1,y_std_pos1,y_max_pos1,y_min_pos1,z_mean_pos1,z_std_pos1,z_max_pos1,z_min_pos1,sma_pos1,x_energy_pos1,y_energy_pos1,z_energy_pos1,x_iqr_pos1,y_iqr_pos1,z_iqr_pos1,xy_corr_pos1,xz_corr_pos1,yz_corr_pos1
46,13205.2304964539,400.53107546511626,14676.0,11780.0,1514.7198581560283,283.75147846326803,2572.0,604.0,-9759.216312056738,476.2463533808182,-8700.0,-11568.0,16503.763162863106,174538466.4964539,2374855.460992908,95469013.07801418,684.0,396.0,828.0,-0.6057962728480321,0.957013764304024,-0.5833042294586547,14679.06778242678,261.31753866656896,15616.0,11956.0,-573.4242677824268,549.7045227049915,6672.0,-1628.0,-7452.928870292887,388.90384313865536,-5916.0,-10972.0,16488.27760126569,215543289.2451883,630864.020083682,55697331.66192468,176.0,160.0,279.0,-0.4456561957957569,0.8759626367915465,-0.2199712260904944
47,13554.25422483468,410.9730025824368,14220.0,11024.0,2042.3247612049963,557.1850392661491,5596.0,1176.0,-9157.228508449669,418.61007577411857,-8376.0,-11196.0,16504.209094746533,183886582.3012491,4481317.490080823,84029939.59735489,384.0,412.0,492.0,-0.7888851713547398,0.9315668240670228,-0.6790333228150689,14679.06778242678,261.31753866656896,15616.0,11956.0,-573.4242677824268,549.7045227049915,6672.0,-1628.0,-7452.928870292887,388.90384313865536,-5916.0,-10972.0,16488.27760126569,215543289.2451883,630864.020083682,55697331.66192468,176.0,160.0,279.0,-0.4456561957957569,0.8759626367915465,-0.2199712260904944
48,13648.803088803088,1366.1811158892515,19940.0,9916.0,1396.4571428571428,1550.6653189866795,5084.0,-3444.0,-9104.30888030888,1087.8396115415435,-5288.0,-13504.0,16578.591849643515,188154835.32355213,4352798.677992278,84070921.38996139,1220.0,2444.0,1542.0,-0.0727113307805606,-0.1001157131746208,0.0850871608797866,14679.06778242678,261.31753866656896,15616.0,11956.0,-573.4242677824268,549.7045227049915,6672.0,-1628.0,-7452.928870292887,388.90384313865536,-5916.0,-10972.0,16488.27760126569,215543289.2451883,630864.020083682,55697331.66192468,176.0,160.0,279.0,-0.4456561957957569,0.8759626367915465,-0.2199712260904944
50,15665.315002988644,192.59823037959,16672.0,14412.0,-554.5630603705918,568.8868935086654,1804.0,-2908.0,-5068.9444112372985,371.59065479504267,-4072.0,-7456.0,16489.075416365682,245439166.04901373,630979.0412432755,25832194.52480574,208.0,476.0,464.0,0.2776386688983504,0.7737727413135589,0.1433373749513041,14679.06778242678,261.31753866656896,15616.0,11956.0,-573.4242677824268,549.7045227049915,6672.0,-1628.0,-7452.928870292887,388.90384313865536,-5916.0,-10972.0,16488.27760126569,215543289.2451883,630864.020083682,55697331.66192468,176.0,160.0,279.0,-0.4456561957957569,0.8759626367915465,-0.2199712260904944
51,15573.65780730897,1601.0383670860726,25012.0,12548.0,-624.5581395348837,1586.4285796549434,2772.0,-7056.0,-5293.063122923588,1111.6660301528188,-324.0,-9876.0,16574.787524824023,245100012.34551492,2904738.1794019933,29251292.17275748,1577.0,2729.0,1565.0,-0.0770835669565906,-0.0841776295721017,-0.0419046024320073,14679.06778242678,261.31753866656896,15616.0,11956.0,-573.4242677824268,549.7045227049915,6672.0,-1628.0,-7452.928870292887,388.90384313865536,-5916.0,-10972.0,16488.27760126569,215543289.2451883,630864.020083682,55697331.66192468,176.0,160.0,279.0,-0.4456561957957569,0.8759626367915465,-0.2199712260904944
52,8909.441975308642,478.6040834481556,10952.0,6328.0,1365.7283950617284,527.987503418662,4068.0,-1512.0,-13861.71851851852,342.16056022982974,-12160.0,-15144.0,16552.732322851698,79606935.38765432,2143640.6913580247,192264169.6,376.0,614.0,256.0,0.2379354320094354,0.862141384003034,0.2490888663575537,16438.13660245184,174.798872001371,17236.0,14888.0,-1197.555166374781,327.1614808509729,2232.0,-2916.0,147.9054290718039,753.5600425725275,4004.0,-5860.0,16503.062134973952,270242862.85113835,1541079.285464098,589231.5096322242,92.0,152.0,447.0,0.3541366382916027,0.3546580085266894,0.1547334766951145
53,12191.952380952382,417.6773426142241,13392.0,9632.0,1555.098901098901,542.5246422604571,4572.0,-1288.0,-11051.71794871795,393.42481421971496,-9848.0,-13232.0,16546.881265463864,148817997.46520147,2712396.043956044,122295110.95970696,424.0,408.0,465.0,-0.2785195190971485,0.8313037818548481,-0.1390488393977164,16438.13660245184,174.798872001371,17236.0,14888.0,-1197.555166374781,327.1614808509729,2232.0,-2916.0,147.9054290718039,753.5600425725275,4004.0,-5860.0,16503.062134973952,270242862.85113835,1541079.285464098,589231.5096322242,92.0,152.0,447.0,0.3541366382916027,0.3546580085266894,0.1547334766951145
54,12269.933876377576,2831.563041052239,26448.0,332.0,986.3747005270724,1774.9741957240342,17476.0,-15024.0,-10952.233828461907,2542.8033825158573,-3844.0,-28388.0,16692.13879123392,158565184.82798275,4121958.846190705,126414176.72065166,2656.0,2198.0,3176.0,0.1597273735207444,-0.4056365785602045,0.0486769543282343,16438.13660245184,174.798872001371,17236.0,14888.0,-1197.555166374781,327.1614808509729,2232.0,-2916.0,147.9054290718039,753.5600425725275,4004.0,-5860.0,16503.062134973952,270242862.85113835,1541079.285464098,589231.5096322242,92.0,152.0,447.0,0.3541366382916027,0.3546580085266894,0.1547334766951145
56,16137.980506822612,247.3584704103509,18240.0,14600.0,-2767.8830409356724,570.754777659071,236.0,-6316.0,-1616.1507472384665,510.88056074930194,532.0,-4420.0,16471.712902063056,260495561.294347,7986725.87394412,2872772.5951916827,128.0,344.0,466.0,0.4943368707511099,0.4509884419648705,0.2409285642913082,16438.13660245184,174.798872001371,17236.0,14888.0,-1197.555166374781,327.1614808509729,2232.0,-2916.0,147.9054290718039,753.5600425725275,4004.0,-5860.0,16503.062134973952,270242862.85113835,1541079.285464098,589231.5096322242,92.0,152.0,447.0,0.3541366382916027,0.3546580085266894,0.1547334766951145
57,15713.469230769231,3092.2001399719466,28528.0,10836.0,-1850.0057692307687,1508.9752888252067,4512.0,-6748.0,-4728.340384615384,1568.7898245820606,3480.0,-14036.0,16637.85780821351,256470220.0,5698433.053846153,24817121.084615383,3052.0,1969.0,1925.0,-0.2114650707867678,-0.3177761230632652,0.2653112360218779,16438.13660245184,174.798872001371,17236.0,14888.0,-1197.555166374781,327.1614808509729,2232.0,-2916.0,147.9054290718039,753.5600425725275,4004.0,-5860.0,16503.062134973952,270242862.85113835,1541079.285464098,589231.5096322242,92.0,152.0,447.0,0.3541366382916027,0.3546580085266894,0.1547334766951145
