_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr
96,14319.472295514512,2476.1404736709446,27704.0,6692.0,-79.4976253298153,1654.486808226407,7712.0,-8040.0,-8133.260158311346,2286.864271848555,-2504.0,-17832.0,16599.84992771145,211175322.96781003,2742201.9715039576,71376909.23905014,2986.0,2162.0,3204.0,-0.02541466283090884,-0.715205097216263,-0.025945811271334225
97,6439.274376417234,1377.5608805785994,10512.0,1388.0,178.74036281179139,894.0401454817419,5304.0,-3676.0,-15176.230158730159,588.842518432858,-12496.0,-16900.0,16578.405023361604,43361390.58503401,831029.3378684807,230664599.0612245,938.0,508.0,448.0,-0.058806041994940716,0.9329713563136859,-0.07216547302473783
98,13299.096859213705,548.0537024628061,15928.0,10916.0,-2975.26553920492,1792.7941358951825,6816.0,-6368.0,-9113.435537008565,399.0818178074565,-7708.0,-11644.0,16505.494926980125,177166274.16121238,12065609.909949483,83213938.60399736,524.0,2272.0,472.0,0.7131778080135065,0.7402189966035834,0.26583241152996645
99,12588.155436130632,1823.552747879651,22800.0,7992.0,305.9776767259198,2256.047607383364,5548.0,-7356.0,-10560.975609756097,1959.024166014218,-4076.0,-18296.0,16651.134867637185,161785627.23108724,5181269.073170732,115370394.99958661,1678.0,4030.0,2752.0,0.03145613670604051,-0.4398194560658722,-0.11744373562457763
101,11154.083876009377,501.3419077234547,14076.0,8504.0,-474.94868455326906,835.8604814020625,1812.0,-3500.0,-12125.77337848398,480.6162859168411,-8684.0,-14352.0,16518.07354537472,124664865.35035166,924057.0065121126,147265311.8707997,444.0,1700.0,476.0,-0.20669599915007703,0.9539858448347127,-0.31573926368580846
102,14807.870820234353,455.6126134331294,16840.0,12204.0,322.76650471563306,1652.9284472576765,5200.0,-5936.0,-6996.777364961417,641.6366004481681,-5008.0,-10544.0,16481.49108395517,219480561.75593027,2835569.824521292,49366473.36038868,502.0,1992.0,896.0,0.32845459657162784,0.8046389220083866,0.31587834035796813
103,14448.421143102707,2554.5685088175555,28996.0,9592.0,-77.13107004727117,2215.911064670194,5752.0,-6584.0,-7850.918779544478,1909.4222649586336,-4484.0,-14440.0,16656.71989979101,215279889.40266436,4914100.923076923,65281252.290502794,2614.0,3940.0,3084.0,0.0520409371426114,-0.49836019422887845,-0.086902665018667
150,11723.146779303062,238.6529519657431,13672.0,10404.0,1217.7064413938754,161.20862312479218,1876.0,592.0,-11658.81731784583,236.831531297194,-9776.0,-12400.0,16582.18220199501,137489095.5691658,1508783.4762407602,135984080.81098205,336.0,212.0,344.0,0.41178553358482545,0.7702529593953088,0.4093552405033124
151,12760.419410745233,458.7529023401011,13856.0,9232.0,1907.2218370883882,277.95802137536015,2720.0,384.0,-10362.246100519931,555.0334987625101,-8768.0,-13772.0,16566.013656720595,163038666.57885614,3714722.322357019,107684072.95667244,508.0,336.0,656.0,0.8489622459928848,0.969136522739967,0.8765726603458456
152,12039.774332061068,2816.162338550242,32767.0,6028.0,1802.6068702290077,1196.8060142849706,7564.0,-2668.0,-11268.326335877862,1799.5658920689664,-4996.0,-21992.0,16744.909707670737,152883152.51956108,4681052.79389313,130212070.75572519,1817.0,1401.0,1788.0,0.4130689988848628,-0.15403172591332845,0.02865037022500093
153,14292.945851962246,149.63073018745865,14936.0,13956.0,101.72478887232985,119.57298845936334,736.0,-292.0,-8285.78042722305,251.73552950176742,-7304.0,-8872.0,16524.20779507223,204310679.36015898,24638.52955787382,68717496.58420268,224.0,164.0,372.0,0.0870089139693903,0.8967996827864055,0.12562662443526507
154,16057.18691588785,78.09727962083241,16732.0,15304.0,854.4859813084112,162.9056492410952,1532.0,-172.0,-3665.0734312416557,194.75785388817445,-2504.0,-4896.0,16494.343091306266,257839348.8010681,756675.6849132177,13470681.217623498,84.0,196.0,236.0,-0.07310190509897158,0.6508058017417951,-0.04093910022365871
155,15942.976486860305,2273.8836979634307,32767.0,10412.0,871.8450899031811,1080.3699678835528,5592.0,-4572.0,-4018.725680036883,1341.5980031022232,9180.0,-13632.0,16552.25674424006,259346662.4933149,1926775.000461042,17949211.470723838,1752.0,1364.0,1164.0,-0.007072010919841814,0.09113768838683092,0.05695859637544747
159,4232.158838599487,1636.6429614358394,7992.0,1864.0,-344.5755764304014,336.9035724643539,1152.0,-1484.0,-15929.772843723313,550.0077088321722,-14440.0,-17268.0,16579.159091620862,20588624.89496157,232187.8804440649,254060042.16567037,1456.0,500.0,404.0,-0.49956544330156155,0.9679621185364686,-0.505165134576446
160,13250.76465116279,361.5784968994189,14628.0,12048.0,1626.603410852713,836.2267696170077,3740.0,-2172.0,-9711.523720930232,470.0954355206134,-8328.0,-10960.0,16540.3863759117,175713462.31069767,3344897.036899225,94534614.1767442,628.0,916.0,796.0,-0.16911511330248752,0.9336178407934804,-0.042430856793947966
162,13538.91520125049,1765.9566726682351,24088.0,9916.0,452.26885502149275,1451.0934443167578,5088.0,-3100.0,-9350.197733489644,1256.9951324787992,-6404.0,-14216.0,16555.943415017788,186419609.11606097,2309396.4517389606,89005616.975381,1264.0,2400.0,1602.0,-0.02436199357688023,-0.4857052931606121,0.04123213319923684
163,13283.922739244952,322.0022684244496,15792.0,12336.0,-710.3143107989464,163.10322710989456,656.0,-1604.0,-9735.863037752415,477.78437062838447,-5528.0,-10932.0,16495.65889527137,176566243.28709394,531137.4047410008,95015206.78489904,380.0,172.0,508.0,0.2932104385243637,0.951226194363622,0.25438207290188564
164,14901.098880597016,232.2288473357934,16296.0,13088.0,-33.55037313432836,685.6946416968349,3712.0,-3304.0,-6983.742537313433,367.2799984178244,-5808.0,-8916.0,16475.97945957474,222096652.93283582,471083.4701492537,48907491.50746269,276.0,864.0,528.0,-0.05973277868356386,0.7489891068655548,-0.15733471365827165
